clip_filename,source,duration_sec,post_rms_dbfs,silence_pct,hiss_ratio_8k_16k_to_80_4k,presence_ratio_2k_5k,spectral_flatness,harmonicity_ac_peak,clarity_score,rank
jarvis_1_014_0138000_0144000.wav,JARVIS_1,5.76,-25.409977891923674,0.0,0.05997936559168097,0.17086441814899445,0.02697373619501005,0.4517350829408793,107.41072790293077,12
jarvis_1_017_0168000_0174000.wav,JARVIS_1,6.103958333333333,-23.96975694817625,5.349794238683128,0.05953965682124959,0.15462255477905273,0.027334760721501948,0.4458123451024395,107.20343207858538,13
jarvis_1_002_0012000_0018000.wav,JARVIS_1,6.0,-24.534350132608154,6.2761506276150625,0.14728283269818115,0.19727635383605957,0.05074500133809432,0.4394202889522998,106.9797101133305,14
jarvis_1_003_0021000_0027000.wav,JARVIS_1,5.773979166666667,-23.293251934990835,3.056768558951965,0.10344715265912616,0.1966237872838974,0.03796296319937035,0.43341852733975,106.76964845689125,15
jarvis_1_033_0342000_0348000.wav,JARVIS_1,6.0,-24.84731792705082,1.2552301255230125,0.034658409219713825,0.26230987906455994,0.02042483346623574,0.43224035961963025,106.72841258668706,16
jarvis_1_038_0396000_0402000.wav,JARVIS_1,6.193333333333333,-23.29470484043471,5.284552845528456,0.03159018804268367,0.2292151004076004,0.018306601644951317,0.429964202786004,106.64874709751014,17
jarvis_1_001_0000000_0006000.wav,JARVIS_1,5.933291666666666,-23.240909294383982,8.050847457627118,0.08929253846427206,0.20533518493175507,0.03634863715657995,0.4230810019955852,106.40783506984548,18
jarvis_1_040_0420000_0426000.wav,JARVIS_1,5.9848333333333334,-25.032206787772537,3.7815126050420167,0.1144988888662846,0.15296167135238647,0.03409518089116144,0.4199955392320142,106.2998438731205,19
jarvis_1_028_0288000_0294000.wav,JARVIS_1,5.767791666666667,-25.449214200136847,1.3100436681222707,0.014952092777495556,0.19779305160045624,0.017644857112230117,0.41029394334298425,105.96028801700444,20
jarvis_1_010_0090000_0096000.wav,JARVIS_1,5.869729166666667,-23.104782491604965,7.725321888412018,0.05682254437978562,0.25217390060424805,0.022428095114918868,0.4042345298607618,105.74820854512666,21
